cell_type	gene	avg_logFC	p_val	p_val_adj	de_family	de_method	de_type
102	MSN_Drd2+_1	Serinc1	0.311927005034988	6.48981337369655e-31	2.19747784922271e-28	singlecell	MAST	singlecell
103	MSN_Drd2+_1	Shisa9	0.205648127818928	2.76164168082556e-27	7.23951003846093e-25	singlecell	MAST	singlecell
104	MSN_Drd2+_1	Slc25a4	0.320194156679458	3.73106185526228e-26	8.30697922377779e-24	singlecell	MAST	singlecell
105	MSN_Drd2+_1	Slc25a5	0.314219166918094	1.89963564842137e-30	6.17495563875849e-28	singlecell	MAST	singlecell
106	MSN_Drd2+_1	Slc32a1	0.306475252528186	6.60899827026667e-27	1.65255459825607e-24	singlecell	MAST	singlecell
107	MSN_Drd2+_1	Slc8a1	0.226772495061333	2.51977454496062e-08	3.35687669502008e-07	singlecell	MAST	singlecell
108	MSN_Drd2+_1	Slit2	0.243520876490045	4.2737298649531e-06	2.67575726802402e-05	singlecell	MAST	singlecell
109	MSN_Drd2+_1	Stmn3	0.286540500681433	4.2872203443416e-17	3.75760225167097e-15	singlecell	MAST	singlecell
110	MSN_Drd2+_1	Stxbp6	-0.206922152565498	2.56765200002494e-11	8.74885701392147e-10	singlecell	MAST	singlecell
111	MSN_Drd2+_1	Sugt1	0.265605847118752	1.68837944113164e-16	1.39295589120369e-14	singlecell	MAST	singlecell
112	MSN_Drd2+_1	Tac1	0.342286615873057	4.38782137096324e-22	6.79192959450148e-20	singlecell	MAST	singlecell
113	MSN_Drd2+_1	Tesc	0.21097425614433	3.85558682323492e-12	1.58244577368781e-10	singlecell	MAST	singlecell
114	MSN_Drd2+_1	Tmem30a	0.314889868166234	1.8826948424139e-34	7.84601007019309e-32	singlecell	MAST	singlecell
115	MSN_Drd2+_1	Tpt1	0.243720370417447	6.40363553281786e-25	1.23902724184391e-22	singlecell	MAST	singlecell
116	MSN_Drd2+_1	Tspyl4	0.224183666068136	2.49845644792142e-11	8.56696469368498e-10	singlecell	MAST	singlecell
117	MSN_Drd2+_1	Tubb2a	0.304603044587422	2.7323421069947e-32	9.86861250332998e-30	singlecell	MAST	singlecell
118	MSN_Drd2+_1	Tubb5	0.274151298678182	2.28869357053021e-32	8.65072944228546e-30	singlecell	MAST	singlecell
119	MSN_Drd2+_1	Ubb	0.545872314636867	1.2429037819684e-37	6.12148944494921e-35	singlecell	MAST	singlecell
120	MSN_Drd2+_1	Ubc	0.217583145807178	1.66630343248738e-19	2.11581481939198e-17	singlecell	MAST	singlecell
121	MSN_Drd2+_1	Ubl5	0.207409525062287	3.83120154376493e-14	2.27257367484713e-12	singlecell	MAST	singlecell
122	MSN_Drd2+_1	Unc50	0.220715970911809	5.93824163204286e-28	1.66403864216539e-25	singlecell	MAST	singlecell
123	MSN_Drd2+_1	Ywhah	0.26742559698918	1.38107562610839e-19	1.77652319193651e-17	singlecell	MAST	singlecell
124	MSN_Drd1+_1	Acp1	-0.223615845935925	2.77144329822243e-38	5.12501453470177e-36	singlecell	MAST	singlecell
125	MSN_Drd1+_1	Actb	0.259336695185977	1.45837042851063e-24	1.15579328770011e-22	singlecell	MAST	singlecell
126	MSN_Drd1+_1	Aldoa	0.245443416077833	6.17460650004835e-25	5.08732554357944e-23	singlecell	MAST	singlecell
127	MSN_Drd1+_1	Ankrd33b	-0.247902177266191	3.79045455622017e-29	4.50603822708373e-27	singlecell	MAST	singlecell
128	MSN_Drd1+_1	Ano3	-0.212370679234223	2.57055055739939e-25	2.20524087251536e-23	singlecell	MAST	singlecell
129	MSN_Drd1+_1	Arf5	-0.20301677246845	1.89227448181251e-100	3.93664052510069e-97	singlecell	MAST	singlecell
130	MSN_Drd1+_1	Atp1b1	0.29586973397495	1.05245688970434e-40	2.46704788948582e-38	singlecell	MAST	singlecell
131	MSN_Drd1+_1	Atp5j2	-0.293288198066186	1.53464250270201e-89	2.12842126437246e-86	singlecell	MAST	singlecell
132	MSN_Drd1+_1	Atp6ap2	0.255365256913943	2.96770550248544e-30	3.85871270920821e-28	singlecell	MAST	singlecell
133	MSN_Drd1+_1	Atp6v0c	0.287666989870818	7.20174262734263e-48	2.39717205093727e-45	singlecell	MAST	singlecell
134	MSN_Drd1+_1	Atp6v1e1	-0.203198536013568	7.32112381626216e-41	1.76587628513118e-38	singlecell	MAST	singlecell
135	MSN_Drd1+_1	C1qtnf4	-0.201956920359351	1.97948574923256e-53	9.15127259013264e-51	singlecell	MAST	singlecell
136	MSN_Drd1+_1	Calm1	0.486909317149543	3.41962019811101e-61	1.96250823990212e-58	singlecell	MAST	singlecell
137	MSN_Drd1+_1	Cartpt	0.23780005906698	1.36563652209833e-10	6.00483187246567e-10	singlecell	MAST	singlecell
138	MSN_Drd1+_1	Celf3	-0.289142117765806	2.22680777994711e-40	5.07681669611777e-38	singlecell	MAST	singlecell
139	MSN_Drd1+_1	Clk1	-0.201330640953451	9.64731341759214e-28	1.00981281263513e-25	singlecell	MAST	singlecell
140	MSN_Drd1+_1	Cntn4	-0.314276260098412	3.20672545470074e-27	3.1767578418205e-25	singlecell	MAST	singlecell
141	MSN_Drd1+_1	Cntn5	-0.225748704609481	1.0642337244509e-25	9.42129887023206e-24	singlecell	MAST	singlecell
142	MSN_Drd1+_1	Cox5a	0.219507097919475	1.80543008891185e-29	2.19326809998247e-27	singlecell	MAST	singlecell
143	MSN_Drd1+_1	Cox7c	-0.321537882853635	3.42805436904125e-156	2.85265544319768e-152	singlecell	MAST	singlecell
144	MSN_Drd1+_1	Cspg5	0.266384552691749	2.549608646389e-24	1.97363426520243e-22	singlecell	MAST	singlecell
145	MSN_Drd1+_1	Ctnna3	0.335037843748869	5.96035550247167e-67	4.31296507076678e-64	singlecell	MAST	singlecell
146	MSN_Drd1+_1	Dach1	-0.28235360770308	7.69490375072518e-29	8.71199204920538e-27	singlecell	MAST	singlecell
147	MSN_Drd1+_1	Ebf1	-0.219419486454101	1.02465673299773e-20	4.14923649812195e-19	singlecell	MAST	singlecell
148	MSN_Drd1+_1	Egfp	1.49393234040073	9.68508154263004e-165	1.61188812113992e-160	singlecell	MAST	singlecell
149	MSN_Drd1+_1	Eif1	0.450783335119468	1.29111712765876e-50	5.24099081844508e-48	singlecell	MAST	singlecell
150	MSN_Drd1+_1	Fam155a	0.378830620393926	3.79652620079801e-23	2.402493747524e-21	singlecell	MAST	singlecell
151	MSN_Drd1+_1	Filip1l	0.203640957102647	3.08169011109132e-18	7.05482373024661e-17	singlecell	MAST	singlecell
152	MSN_Drd1+_1	Frmd4b	-0.232911048690041	3.81155943567721e-22	2.00746150911316e-20	singlecell	MAST	singlecell
153	MSN_Drd1+_1	Fth1	0.32519590793855	9.55835359783643e-32	1.38330155590254e-29	singlecell	MAST	singlecell
154	MSN_Drd1+_1	Gapdh	0.272807652732802	7.84701503495451e-33	1.20200653479293e-30	singlecell	MAST	singlecell
155	MSN_Drd1+_1	Gm47283	-0.543443144399894	6.48478499027104e-105	1.79877127655135e-101	singlecell	MAST	singlecell
156	MSN_Drd1+_1	Grm1	-0.2675903400723	3.75980927868689e-33	5.9594767452558e-31	singlecell	MAST	singlecell
157	MSN_Drd1+_1	Gucy1a1	0.235112136221468	1.61884727415198e-14	1.4795428436964e-13	singlecell	MAST	singlecell
158	MSN_Drd1+_1	Hsp90ab1	0.446827922746895	2.51940541608099e-50	9.52965098632633e-48	singlecell	MAST	singlecell
159	MSN_Drd1+_1	Hspa8	0.270475192071232	6.3767585207978e-31	8.69904852964244e-29	singlecell	MAST	singlecell
160	MSN_Drd1+_1	Hspe1	-0.234604721091888	2.93896508466995e-75	2.574378731798e-72	singlecell	MAST	singlecell
161	MSN_Drd1+_1	Il1rapl2	-0.314959160457825	1.26449259933872e-14	1.18097364370339e-13	singlecell	MAST	singlecell
162	MSN_Drd1+_1	Itgav	-0.200130882710343	1.46744362038589e-21	6.91860174903182e-20	singlecell	MAST	singlecell
163	MSN_Drd1+_1	Itgbl1	0.205034752323828	7.92738029626378e-17	1.26894884916004e-15	singlecell	MAST	singlecell
164	MSN_Drd1+_1	Itm2b	0.492547256871967	2.6753934669803e-72	2.22632867354766e-69	singlecell	MAST	singlecell
165	MSN_Drd1+_1	Itm2c	0.209207115541081	2.63174889609824e-19	7.76599235421329e-18	singlecell	MAST	singlecell
166	MSN_Drd1+_1	Kcnh7	-0.225049966960521	7.53111209646544e-20	2.53212724487827e-18	singlecell	MAST	singlecell
167	MSN_Drd1+_1	Kcnk1	0.24777686847442	1.97084116021416e-38	3.72735334425503e-36	singlecell	MAST	singlecell
168	MSN_Drd1+_1	Kctd16	-0.216750422635128	4.31398895058324e-32	6.29804544776815e-30	singlecell	MAST	singlecell
169	MSN_Drd1+_1	Kifap3	0.265723985536727	7.87230140554162e-33	1.20200653479293e-30	singlecell	MAST	singlecell
170	MSN_Drd1+_1	Lamp1	0.203162233082844	2.77944305986343e-21	1.22700983674554e-19	singlecell	MAST	singlecell
171	MSN_Drd1+_1	Ldhb	-0.219973493465885	2.8549334285373e-86	3.65497361931894e-83	singlecell	MAST	singlecell
172	MSN_Drd1+_1	Lrrc4	0.229456398380311	4.89588738406891e-28	5.29105543721162e-26	singlecell	MAST	singlecell
173	MSN_Drd1+_1	Lrtm1	0.524210986159221	6.76845981277989e-91	1.0240679696736e-87	singlecell	MAST	singlecell
174	MSN_Drd1+_1	Lysmd4	0.24264343997071	3.64743606865666e-32	5.37206004342061e-30	singlecell	MAST	singlecell
175	MSN_Drd1+_1	Lzts3	-0.224612977448705	4.32801546669401e-39	8.57513826335576e-37	singlecell	MAST	singlecell
176	MSN_Drd1+_1	Mapk4	-0.216172224584839	5.54808220193284e-23	3.45830457253813e-21	singlecell	MAST	singlecell
177	MSN_Drd1+_1	Msra	-0.209132449691547	1.56641602450232e-18	3.80236547789922e-17	singlecell	MAST	singlecell
178	MSN_Drd1+_1	Ndufa6	-0.322336924816866	2.03129363497907e-97	3.38068199669567e-94	singlecell	MAST	singlecell
179	MSN_Drd1+_1	Nnat	0.277530844016191	2.54706792652687e-17	4.63287994548488e-16	singlecell	MAST	singlecell
180	MSN_Drd1+_1	Npm1	0.227327917672307	1.05167922469775e-21	5.05869865220946e-20	singlecell	MAST	singlecell
181	MSN_Drd1+_1	Nrgn	-0.209188010233994	1.45443084069447e-34	2.4206092481678e-32	singlecell	MAST	singlecell
182	MSN_Drd1+_1	Nrp1	0.296353931950318	1.1869579871285e-18	2.96614741438132e-17	singlecell	MAST	singlecell
183	MSN_Drd1+_1	Oaz1	-0.271931288350031	1.20196946419819e-113	4.0008755585301e-110	singlecell	MAST	singlecell
184	MSN_Drd1+_1	Oprm1	0.214328090686278	5.82689182677685e-14	4.68487732720035e-13	singlecell	MAST	singlecell
185	MSN_Drd1+_1	P2ry12	0.212708372021639	4.34769696481413e-21	1.8843416819115e-19	singlecell	MAST	singlecell
186	MSN_Drd1+_1	Pcsk1n	0.452157971216955	5.55141669526144e-66	3.84967616913484e-63	singlecell	MAST	singlecell
187	MSN_Drd1+_1	Pde1a	0.201298818534217	4.98119265339807e-09	1.75268476385844e-08	singlecell	MAST	singlecell
188	MSN_Drd1+_1	Pde4d	0.336599614144478	7.11566839539707e-18	1.48403595369165e-16	singlecell	MAST	singlecell
189	MSN_Drd1+_1	Pdzd2	-0.232677473296849	3.14447797787248e-27	3.13374532848693e-25	singlecell	MAST	singlecell
190	MSN_Drd1+_1	Pgrmc1	0.209565490777493	1.58483533857936e-27	1.64076926395515e-25	singlecell	MAST	singlecell
191	MSN_Drd1+_1	Pisd	-0.322178231312662	1.6649264441447e-47	5.2281831716793e-45	singlecell	MAST	singlecell
192	MSN_Drd1+_1	Plcl1	0.226675306959947	1.02997952444264e-11	5.3888554622128e-11	singlecell	MAST	singlecell
193	MSN_Drd1+_1	Pnmal2	-0.222893667664201	5.01124014726997e-83	5.95729069792958e-80	singlecell	MAST	singlecell
194	MSN_Drd1+_1	Psma7	-0.300101985609106	4.30333038427219e-72	3.41049178978295e-69	singlecell	MAST	singlecell
195	MSN_Drd1+_1	Ptchd4	-0.226760025419147	9.7752455806471e-22	4.78498271172676e-20	singlecell	MAST	singlecell
196	MSN_Drd1+_1	Ptprg	0.268320748596246	2.69242208636683e-19	7.88908112383859e-18	singlecell	MAST	singlecell
197	MSN_Drd1+_1	Rab14	0.231928839235151	2.3873788112374e-32	3.57956266265081e-30	singlecell	MAST	singlecell
198	MSN_Drd1+_1	Reln	-0.264908441365544	3.26183150646398e-18	7.40609300983357e-17	singlecell	MAST	singlecell
199	MSN_Drd1+_1	Robo2	-0.25220053810343	5.27783934394895e-22	2.70274092927207e-20	singlecell	MAST	singlecell
200	MSN_Drd1+_1	Rps27	0.205896065426725	6.86014724705599e-22	3.43895875399858e-20	singlecell	MAST	singlecell
201	MSN_Drd1+_1	Scg2	0.548844931147168	5.84391527001655e-58	3.03938380746517e-55	singlecell	MAST	singlecell
202	MSN_Drd1+_1	Sdk1	0.217090691351583	1.86833926834221e-10	8.04730083929074e-10	singlecell	MAST	singlecell
203	MSN_Drd1+_1	Sec62	0.30400944058616	7.45407595081427e-28	7.90179528977082e-26	singlecell	MAST	singlecell
204	MSN_Drd1+_1	Slc25a4	0.213664896102399	4.59373953510429e-20	1.62321883402846e-18	singlecell	MAST	singlecell
205	MSN_Drd1+_1	Slc32a1	0.215849133411226	2.09773947579047e-24	1.64682443847079e-22	singlecell	MAST	singlecell
206	MSN_Drd1+_1	Slc8a1	0.315076327785335	1.36794109902651e-20	5.44656548112398e-19	singlecell	MAST	singlecell
207	MSN_Drd1+_1	Slit2	0.277224627361853	2.8363691886702e-12	1.63624583733235e-11	singlecell	MAST	singlecell
208	MSN_Drd1+_1	Sntg2	-0.224239988888668	1.88376493116537e-26	1.76132021063962e-24	singlecell	MAST	singlecell
209	MSN_Drd1+_1	Stmn3	0.24398423329908	2.90464404533291e-17	5.20365886399092e-16	singlecell	MAST	singlecell
210	MSN_Drd1+_1	Sub1	-0.240146784486913	9.27503595800674e-82	1.02909615632737e-78	singlecell	MAST	singlecell
211	MSN_Drd1+_1	Syne1	-0.203893451146724	5.59902916669977e-20	1.94946950672352e-18	singlecell	MAST	singlecell
212	MSN_Drd1+_1	Tac1	0.418544477398556	9.43960613970521e-29	1.05438499988667e-26	singlecell	MAST	singlecell
213	MSN_Drd1+_1	Tcf4	-0.305878998568851	3.37869495439868e-120	1.40579050315143e-116	singlecell	MAST	singlecell
214	MSN_Drd1+_1	Tmem30a	0.201932655339341	6.00143178297408e-25	4.96924523204167e-23	singlecell	MAST	singlecell
215	MSN_Drd1+_1	Tubb2a	0.224068327365113	2.91679637647149e-26	2.68200232561409e-24	singlecell	MAST	singlecell
216	MSN_Drd1+_1	Ubb	0.283083788382578	4.67680095736217e-29	5.48140833333652e-27	singlecell	MAST	singlecell
