Gene	Cluster
Osbpl3	Cluster_0
Avl9	Cluster_0
Rnf103	Cluster_0
Chmp3	Cluster_0
Dctn1	Cluster_0
Tgfa	Cluster_0
Slc25a26	Cluster_0
Mitf	Cluster_0
Ptms	Cluster_0
Ano2	Cluster_0
Prmt8	Cluster_0
Fgfr1op2	Cluster_0
Prkcg	Cluster_0
Shisa7	Cluster_0
Slc8a2	Cluster_0
Nova2	Cluster_0
Actn4	Cluster_0
Arhgap33	Cluster_0
Dpy19l3	Cluster_0
Car11	Cluster_0
Gabra5	Cluster_0
Nars2	Cluster_0
Tub	Cluster_0
Crym	Cluster_0
Dhx32	Cluster_0
Caly	Cluster_0
Mfap3l	Cluster_0
Mmaa	Cluster_0
Cx3cl1	Cluster_0
Slc7a6	Cluster_0
Zfp1	Cluster_0
Cdyl2	Cluster_0
Mbtps1	Cluster_0
Cep126	Cluster_0
Icam5	Cluster_0
Igsf9b	Cluster_0
Prdm10	Cluster_0
Scn3b	Cluster_0
Scn4b	Cluster_0
Usp28	Cluster_0
Lingo1	Cluster_0
Pkm	Cluster_0
Smad3	Cluster_0
Trip4	Cluster_0
Car12	Cluster_0
Arpp19	Cluster_0
Mlip	Cluster_0
Lrrc1	Cluster_0
Gclc	Cluster_0
Filip1	Cluster_0
Mei4	Cluster_0
Pls1	Cluster_0
Mras	Cluster_0
Mrpl3	Cluster_0
Dcaf1	Cluster_0
Traip	Cluster_0
Usp4	Cluster_0
Usp19	Cluster_0
Dclk3	Cluster_0
Tmem158	Cluster_0
Pex7	Cluster_0
Tbc1d32	Cluster_0
Pttg1ip	Cluster_0
Matk	Cluster_0
Epyc	Cluster_0
Kitl	Cluster_0
Pla2g3	Cluster_0
Mdh1	Cluster_0
Ubtd2	Cluster_0
Rnf145	Cluster_0
Ebf1	Cluster_0
Cenpv	Cluster_0
Glp2r	Cluster_0
Sgsm2	Cluster_0
Rhbdl3	Cluster_0
Aatf	Cluster_0
Hlf	Cluster_0
Socs7	Cluster_0
Mllt6	Cluster_0
Ppp1r1b	Cluster_0
Cacng4	Cluster_0
Abca8b	Cluster_0
Mgat5b	Cluster_0
Ldah	Cluster_0
Cpsf3	Cluster_0
Pxdn	Cluster_0
Sntg2	Cluster_0
Tspan13	Cluster_0
Etv1	Cluster_0
Prkch	Cluster_0
Hif1a	Cluster_0
Akap5	Cluster_0
Rab15	Cluster_0
Atp6v1d	Cluster_0
Vti1b	Cluster_0
Cep128	Cluster_0
Galc	Cluster_0
Ccdc88c	Cluster_0
Vrk1	Cluster_0
Mok	Cluster_0
Actn2	Cluster_0
D130043K22Rik	Cluster_0
Gcnt2	Cluster_0
Rbm24	Cluster_0
Cenpp	Cluster_0
Spin1	Cluster_0
Drd1	Cluster_0
Sfxn1	Cluster_0
Pdlim7	Cluster_0
Cntnap3	Cluster_0
Cetn3	Cluster_0
Msh3	Cluster_0
Iqgap2	Cluster_0
Gtf2h2	Cluster_0
Plk2	Cluster_0
Lrrc3b	Cluster_0
Peli2	Cluster_0
Zmym5	Cluster_0
Spata13	Cluster_0
Tbc1d4	Cluster_0
Itgbl1	Cluster_0
Sub1	Cluster_0
Dcaf13	Cluster_0
Zfat	Cluster_0
Plec	Cluster_0
Cacna1i	Cluster_0
Shank3	Cluster_0
Syt10	Cluster_0
Mpv17l	Cluster_0
Comt	Cluster_0
2510009E07Rik	Cluster_0
Tmem44	Cluster_0
Drd3	Cluster_0
Crybg3	Cluster_0
Cxadr	Cluster_0
Ltn1	Cluster_0
Setd4	Cluster_0
B3galt5	Cluster_0
C2cd2	Cluster_0
Fam120b	Cluster_0
Fbxl16	Cluster_0
Rgs11	Cluster_0
Grm4	Cluster_0
Zfp563	Cluster_0
H2-T24	Cluster_0
Enpp5	Cluster_0
Cdc42ep3	Cluster_0
Srbd1	Cluster_0
