Gene	cluster
Unc79	Cluster_0
Arhgap6	Cluster_0
Npas2	Cluster_0
Gm13269	Cluster_0
Pcsk2	Cluster_0
Ptprn2	Cluster_0
Epha7	Cluster_0
Myo5a	Cluster_0
Ndst3	Cluster_0
Lrfn5	Cluster_0
Ndrg4	Cluster_0
Atxn1	Cluster_0
Htr1b	Cluster_0
Ptk2b	Cluster_0
Cap2	Cluster_0
Cacng3	Cluster_0
Ror1	Cluster_0
Tbc1d8	Cluster_0
Khdrbs2	Cluster_0
Mrtfb	Cluster_0
Dpy19l3	Cluster_0
5330417C22Rik	Cluster_0
Sipa1l1	Cluster_0
Ncdn	Cluster_0
Filip1	Cluster_0
Smpd3	Cluster_0
Pou3f1	Cluster_0
Zswim6	Cluster_0
Gm48312	Cluster_0
Actn1	Cluster_0
Gm32647	Cluster_0
Homer1	Cluster_0
Sorcs3	Cluster_0
Nebl	Cluster_0
Slc2a13	Cluster_0
Csmd3	Cluster_0
Xkr6	Cluster_0
Reln	Cluster_0
Neto1	Cluster_0
Cntnap5b	Cluster_0
Fry	Cluster_0
Arpc1a	Cluster_0
Lrrk2	Cluster_0
Lrtm1	Cluster_0
Ngef	Cluster_0
Dlgap3	Cluster_0
Tomm70a	Cluster_0
Cdk17	Cluster_0
2010300C02Rik	Cluster_0
Dgki	Cluster_0
Gm18406	Cluster_0
Grid2	Cluster_0
Scn4b	Cluster_0
Rasgrp2	Cluster_0
Gm13052	Cluster_0
Ppp1r7	Cluster_0
Gm30382	Cluster_0
Syndig1	Cluster_0
Rian	Cluster_0
Grik2	Cluster_0
Gabrd	Cluster_0
Gabrb3	Cluster_0
Atp2b2	Cluster_0
Epb41l1	Cluster_0
Rasgef1b	Cluster_0
Rtn1	Cluster_0
Nptn	Cluster_0
Gucy1b1	Cluster_0
D430041D05Rik	Cluster_0
Crocc	Cluster_0
Plk2	Cluster_0
Slc35f3	Cluster_0
Wasf1	Cluster_0
Cx3cl1	Cluster_0
Rgs17	Cluster_0
Dgkh	Cluster_0
Tesc	Cluster_0
St6galnac5	Cluster_0
Meg3	Cluster_0
Sptbn4	Cluster_0
Car11	Cluster_0
Calm2	Cluster_0
Pak3	Cluster_0
Gm15810	Cluster_0
Gm26691	Cluster_0
Neto2	Cluster_0
Gm28905	Cluster_0
Hras	Cluster_0
Ptchd4	Cluster_0
Gm26871	Cluster_0
Rbms1	Cluster_0
Gsg1l	Cluster_0
Gm15261	Cluster_0
Hs6st2	Cluster_0
Arhgap33	Cluster_0
Rbm24	Cluster_0
Atp6v0a1	Cluster_0
Grin1	Cluster_0
Gcnt2	Cluster_0
Prr7	Cluster_0
Prkar2b	Cluster_0
Plppr4	Cluster_0
St8sia3	Cluster_0
Nrg2	Cluster_0
Ptms	Cluster_0
Syt10	Cluster_0
Ppp4r4	Cluster_0
Gabra2	Cluster_0
D430036J16Rik	Cluster_0
Mpp6	Cluster_0
Epha4	Cluster_0
Traip	Cluster_0
Ntrk3	Cluster_0
Tmem191c	Cluster_0
Itpka	Cluster_0
Fam135b	Cluster_0
Dtnb	Cluster_0
Stk26	Cluster_0
Sorbs2	Cluster_0
Kcna4	Cluster_0
Gm42772	Cluster_0
Tmem132b	Cluster_0
Phf24	Cluster_0
Ric8b	Cluster_0
Enpp5	Cluster_0
Icam5	Cluster_0
Acp1	Cluster_0
Gm49906	Cluster_0
Fbxl16	Cluster_0
Arhgef9	Cluster_0
Actn2	Cluster_0
Tusc3	Cluster_0
Arl15	Cluster_0
Pmepa1	Cluster_0
Mtcl1	Cluster_0
Gprin3	Cluster_0
Kctd1	Cluster_0
Add2	Cluster_0
Ajap1	Cluster_0
B230209E15Rik	Cluster_0
2900064K03Rik	Cluster_0
Sorl1	Cluster_0
Pisd-ps2	Cluster_0
Selenow	Cluster_0
9330182L06Rik	Cluster_0
Gm43485	Cluster_0
C2cd2l	Cluster_0
4930587E11Rik	Cluster_0
Slc6a6	Cluster_0
Gm48677	Cluster_0
Dclk3	Cluster_0
