Gene	cluster
AABR07060620.1	Drd1-MSN
Xkr4	Drd1-MSN
Dgkg	Drd1-MSN
Tbc1d4	Drd1-MSN
Patj	Drd1-MSN
Acvr2a	Drd1-MSN
Cacna1c	Drd1-MSN
Myo3a	Drd1-MSN
Ano6	Drd1-MSN
Dnmbp	Drd1-MSN
Mapk4	Drd1-MSN
Srrm4	Drd1-MSN
Cdc14b	Drd1-MSN
Kcnk2	Drd1-MSN
Kitlg	Drd1-MSN
LOC100362814	Drd1-MSN
Cacna1i	Drd1-MSN
Etl4	Drd1-MSN
Rab27b	Drd1-MSN
Sulf1	Drd1-MSN
Hcn1	Drd1-MSN
Kcnip4	Drd1-MSN
March1	Drd1-MSN
Foxo1	Drd1-MSN
Pcdh17	Drd1-MSN
Lin7a	Drd1-MSN
Tenm3	Drd1-MSN
AABR07040412.1	Drd1-MSN
Pde1c	Drd1-MSN
Sh3rf3	Drd1-MSN
March11	Drd1-MSN
Atrnl1	Drd1-MSN
Ryr2	Drd1-MSN
Rbms1	Drd1-MSN
Camk1g	Drd1-MSN
Ghr	Drd1-MSN
Rgs8	Drd1-MSN
Plxnc1	Drd1-MSN
Adam12	Drd1-MSN
Enc1	Drd1-MSN
Epb41l3	Drd1-MSN
Tgfbr3	Drd1-MSN
Ntrk2	Drd1-MSN
AABR07056633.1	Drd1-MSN
Lpcat2	Drd1-MSN
Cemip	Drd1-MSN
Hpca	Drd1-MSN
Zfhx4	Drd1-MSN
Pam	Drd1-MSN
Far2	Drd1-MSN
Syndig1l	Drd1-MSN
Ptchd4	Drd1-MSN
Mme	Drd1-MSN
Pcp4l1	Drd1-MSN
Sik2	Drd1-MSN
Ak5	Drd1-MSN
Nkain3	Drd1-MSN
Slc12a3	Drd1-MSN
Ephx4	Drd1-MSN
Scfd2	Drd1-MSN
Rgs6	Drd1-MSN
Eml5	Drd1-MSN
Slc6a17	Drd1-MSN
Hs6st3	Drd1-MSN
Cntnap4	Drd1-MSN
Traip	Drd1-MSN
Prkca	Drd1-MSN
Tiam1	Drd1-MSN
Peli1	Drd1-MSN
Osbpl3	Drd1-MSN
Ammecr1	Drd1-MSN
Slc8a3	Drd1-MSN
Fam19a2	Drd1-MSN
LOC100360828	Drd1-MSN
Asph	Drd1-MSN
Irs2	Drd1-MSN
AABR07024786.1	Drd1-MSN
Syt4	Drd1-MSN
AABR07033184.1	Drd1-MSN
Slc25a25	Drd1-MSN
Sdcbp	Drd1-MSN
Ttc39b	Drd1-MSN
Myo5b	Drd1-MSN
Gpr155	Drd1-MSN
Dusp14	Drd1-MSN
Trpc5	Drd1-MSN
AABR07001573.1	Drd1-MSN
LOC102547949	Drd1-MSN
Grin2a	Drd1-MSN
Rps6ka2	Drd1-MSN
Peg3	Drd1-MSN
Pak3	Drd1-MSN
Hrh3	Drd1-MSN
Tomm70	Drd1-MSN
Arhgap6	Drd1-MSN
Rheb	Drd1-MSN
Kcnh7	Drd1-MSN
Trpc7	Drd1-MSN
Adam32	Drd1-MSN
Srgap1	Drd1-MSN
B3gnt2	Drd1-MSN
Vwa3a	Drd1-MSN
Atg16l1	Drd1-MSN
Rem2	Drd1-MSN
Arid5b	Drd1-MSN
Chrm5	Drd1-MSN
Pde1a	Drd1-MSN
RGD1564664	Drd1-MSN
Lin28b	Drd1-MSN
Arhgef3	Drd1-MSN
Trpc3	Drd1-MSN
Nrdc	Drd1-MSN
Hydin	Drd1-MSN
Nr4a3	Drd1-MSN
Col25a1	Drd1-MSN
AABR07027979.1	Drd1-MSN
Gabra5	Drd1-MSN
Mlip	Drd1-MSN
Iqgap1	Drd1-MSN
Mest	Drd1-MSN
Adamts19	Drd1-MSN
Junb	Drd1-MSN
AABR07034767.1	Drd1-MSN
Kif28p	Drd1-MSN
Nts	Drd1-MSN
Fosl2	Drd1-MSN
Cartpt	Drd1-MSN
AABR07009919.1	Drd1-MSN
Drd2	Drd2-MSN
Penk	Drd2-MSN
Adora2a	Drd2-MSN
Htr2c	Drd2-MSN
Gucy1a1	Drd2-MSN
Dgkb	Drd2-MSN
Pde10a	Drd2-MSN
Kcnab1	Drd2-MSN
Rgs9	Drd2-MSN
Grm5	Drd2-MSN
Camk4	Drd2-MSN
Ngef	Drd2-MSN
Cdh8	Drd2-MSN
Galnt13	Drd2-MSN
Cacnb2	Drd2-MSN
Gabra4	Drd2-MSN
Mctp1	Drd2-MSN
Foxp1	Drd2-MSN
Elmod1	Drd2-MSN
AABR07060487.1	Drd2-MSN
Syndig1	Drd2-MSN
Caln1	Drd2-MSN
Gria3	Drd2-MSN
Cacna2d3	Drd2-MSN
Cnksr2	Drd2-MSN
Ryr3	Drd2-MSN
Neto1	Drd2-MSN
Man1a1	Drd2-MSN
Dach1	Drd2-MSN
Robo2	Drd2-MSN
Plppr1	Drd2-MSN
Grm1	Drd2-MSN
Arpp21	Drd2-MSN
Gng7	Drd2-MSN
Fstl4	Drd2-MSN
LOC100360828	Drd2-MSN
Zfhx4	Drd2-MSN
Lmo7	Drd2-MSN
Slc24a4	Drd2-MSN
Kcnq5	Drd2-MSN
Gpr158	Drd2-MSN
RGD1564053	Drd2-MSN
Ano3	Drd2-MSN
Wipf3	Drd2-MSN
AABR07033882.1	Drd2-MSN
AABR07048878.1	Drd2-MSN
Kcnk2	Drd2-MSN
Rnf150	Drd2-MSN
Itpr1	Drd2-MSN
Epha3	Drd2-MSN
Atp2b1	Drd2-MSN
Actn1	Drd2-MSN
Gnal	Drd2-MSN
Strip2	Drd2-MSN
Rbfox1	Drd2-MSN
Oprd1	Drd2-MSN
Adcy5	Drd2-MSN
Unc13c	Drd2-MSN
Baiap2	Drd2-MSN
Htr4	Drd2-MSN
Gabrg3	Drd2-MSN
Pdzd2	Drd2-MSN
Cobl	Drd2-MSN
Pde7b	Drd2-MSN
Nexn	Drd2-MSN
Pde2a	Drd2-MSN
Mpp7	Drd2-MSN
Grik3	Drd2-MSN
Dgkh	Drd2-MSN
Cdh9	Drd2-MSN
Smpd3	Drd2-MSN
Pcsk2	Drd2-MSN
AABR07027306.1	Drd2-MSN
LOC304725	Drd2-MSN
Nebl	Drd2-MSN
Zfp385b	Drd2-MSN
Arl15	Drd2-MSN
Nedd4l	Drd2-MSN
Meis2	Drd2-MSN
Osbpl8	Drd2-MSN
Prkcb	Drd2-MSN
Runx1t1	Drd2-MSN
Lrrk2	Drd2-MSN
Synpr	Drd2-MSN
Adgrl2	Drd2-MSN
Epha4	Drd2-MSN
Slit3	Drd2-MSN
Sntb2	Drd2-MSN
Cacna2d1	Drd2-MSN
Tenm2	Drd2-MSN
Atp6ap1l	Drd2-MSN
Epha7	Drd2-MSN
Scn3b	Drd2-MSN
Erc2	Drd2-MSN
Fgf14	Drd2-MSN
Dgki	Drd2-MSN
Fras1	Drd2-MSN
Rarb	Drd2-MSN
Zfp385d	Drd2-MSN
Tenm4	Drd2-MSN
Dpy19l3	Drd2-MSN
Dcc	Drd2-MSN
Sv2c	Drd2-MSN
Gpr6	Drd2-MSN
Grm7	Drd2-MSN
Gulp1	Drd2-MSN
Nrg2	Drd2-MSN
Cntn3	Drd2-MSN
Nlgn1	Drd2-MSN
Smad3	Drd2-MSN
Ldb2	Drd2-MSN
Prkd1	Drd2-MSN
Aff3	Drd2-MSN
Npas2	Drd2-MSN
Sh3rf2	Drd2-MSN
Nell2	Drd2-MSN
Pde1b	Drd2-MSN
Gucy1b1	Drd2-MSN
Iqgap2	Drd2-MSN
Vav3	Drd2-MSN
Gpr88	Drd2-MSN
Ptprm	Drd2-MSN
Ablim2	Drd2-MSN
Ndst3	Drd2-MSN
Gabra2	Drd2-MSN
Bcl11b	Drd2-MSN
Slc7a8	Drd2-MSN
Zfyve28	Drd2-MSN
Hs6st2	Drd2-MSN
Dlgap2	Drd2-MSN
Lrrtm3	Drd2-MSN
Cap2	Drd2-MSN
Stk32a	Drd2-MSN
Gad2	Drd2-MSN
Car12	Drd2-MSN
Adamts6	Drd2-MSN
Cpne5	Drd2-MSN
Prkch	Drd2-MSN
Tpd52l1	Drd2-MSN
Alcam	Drd2-MSN
Adamts3	Drd2-MSN
Ankrd33b	Drd2-MSN
Gda	Drd2-MSN
Ramp1	Drd2-MSN
Syt10	Drd2-MSN
Mtcl1	Drd2-MSN
Ryr2	Drd2-MSN
Rgs8	Drd2-MSN
Rasgrp1	Drd2-MSN
Gabrb2	Drd2-MSN
Snca	Drd2-MSN
Kctd1	Drd2-MSN
Mtus2	Drd2-MSN
Necab1	Drd2-MSN
RGD1310819	Drd2-MSN
Chst15	Drd2-MSN
Fam49a	Drd2-MSN
Plxna2	Drd2-MSN
Reep1	Drd2-MSN
Slc4a4	Drd2-MSN
Camkk2	Drd2-MSN
Sorcs2	Drd2-MSN
Gas7	Drd2-MSN
Pde8b	Drd2-MSN
Actn2	Drd2-MSN
Homer1	Drd2-MSN
Ppp1r1b	Drd2-MSN
Wdr17	Drd2-MSN
Zfp831	Drd2-MSN
Phf24	Drd2-MSN
Tiam2	Drd2-MSN
Meox2	Drd2-MSN
AC126641.1	Drd2-MSN
Nup93	Drd2-MSN
Bcr	Drd2-MSN
Cntn5	Drd2-MSN
Syndig1l	Drd2-MSN
Cacng3	Drd2-MSN
Frmpd4	Drd2-MSN
Efnb2	Drd2-MSN
Csmd1	Drd2-MSN
Kitlg	Drd2-MSN
Calb1	Drd2-MSN
Patj	Drd2-MSN
Me3	Drd2-MSN
Slc35f3	Drd2-MSN
Fam135b	Drd2-MSN
Entpd3	Drd2-MSN
AABR07026957.1	Drd2-MSN
Klhl29	Drd2-MSN
Hlf	Drd2-MSN
Snap25	Drd2-MSN
Mlip	Drd2-MSN
Cdc42ep3	Drd2-MSN
Ppp4r4	Drd2-MSN
Plcb1	Drd2-MSN
Tmem164	Drd2-MSN
Nrg1	Drd2-MSN
Gpr149	Drd2-MSN
Brinp1	Drd2-MSN
Ntn1	Drd2-MSN
Mpp6	Drd2-MSN
Gria4	Drd2-MSN
Plk2	Drd2-MSN
Hpca	Drd2-MSN
Nrgn	Drd2-MSN
Rasgrf1	Drd2-MSN
Cntn4	Drd2-MSN
Fam189a1	Drd2-MSN
Nyap2	Drd2-MSN
Clvs2	Drd2-MSN
Gad1	Drd2-MSN
Syt6	Drd2-MSN
Cnnm1	Drd2-MSN
Filip1	Drd2-MSN
Etl4	Drd2-MSN
Kcnh1	Drd2-MSN
Ccdc148	Drd2-MSN
Tomm70	Drd2-MSN
Neto2	Drd2-MSN
Pam	Drd2-MSN
Kcnip4	Drd2-MSN
Hfm1	Drd2-MSN
Fnbp1l	Drd2-MSN
Rtn4rl1	Drd2-MSN
AABR07007916.1	Drd2-MSN
