Gene	cell_type	Direction
UTP14C	Astrocytes	DownReg
VAMP2	Astrocytes	DownReg
VAPA	Astrocytes	DownReg
VCL	Astrocytes	DownReg
VPS29	Astrocytes	DownReg
VPS35	Astrocytes	DownReg
WDR18	Astrocytes	DownReg
WDR61	Astrocytes	DownReg
XPC	Astrocytes	DownReg
YBX1	Astrocytes	DownReg
YWHAE	Astrocytes	DownReg
ZBTB18	Astrocytes	DownReg
ZBTB7A	Astrocytes	DownReg
ZC3H15	Astrocytes	DownReg
ZCCHC17	Astrocytes	DownReg
ZCRB1	Astrocytes	DownReg
ZDHHC18	Astrocytes	DownReg
ZNF280D	Astrocytes	DownReg
ZMAT2	Astrocytes	DownReg
C5orf15	Astrocytes	UpReg
ADAM22	Astrocytes	UpReg
ADCYAP1R1	Astrocytes	UpReg
AHI1	Astrocytes	UpReg
AMIGO1	Astrocytes	UpReg
ARL6IP5	Astrocytes	UpReg
ATP1B3	Astrocytes	UpReg
ATP6V1G2-DDX39B	Astrocytes	UpReg
C18orf32	Astrocytes	UpReg
BSG	Astrocytes	UpReg
C1QL3	Astrocytes	UpReg
CACHD1	Astrocytes	UpReg
CASD1	Astrocytes	UpReg
CCDC73	Astrocytes	UpReg
CDH13	Astrocytes	UpReg
CDK9	Astrocytes	UpReg
CERS4	Astrocytes	UpReg
CLU	Astrocytes	UpReg
CPNE8	Astrocytes	UpReg
CRELD1	Astrocytes	UpReg
CRYM	Astrocytes	UpReg
CST3	Astrocytes	UpReg
CTSB	Astrocytes	UpReg
CTSD	Astrocytes	UpReg
DDRGK1	Astrocytes	UpReg
DEGS1	Astrocytes	UpReg
DIP2C	Astrocytes	UpReg
DUSP16	Astrocytes	UpReg
FILIP1L	Astrocytes	UpReg
GABRG3	Astrocytes	UpReg
GFOD1	Astrocytes	UpReg
GPC6	Astrocytes	UpReg
GRM3	Astrocytes	UpReg
GSTM3	Astrocytes	UpReg
HLA-E	Astrocytes	UpReg
HGSNAT	Astrocytes	UpReg
HNRNPH1	Astrocytes	UpReg
HNRNPR	Astrocytes	UpReg
ITM2B	Astrocytes	UpReg
KCNN3	Astrocytes	UpReg
KIF3B	Astrocytes	UpReg
KIZ	Astrocytes	UpReg
KLHL7	Astrocytes	UpReg
LAMP1	Astrocytes	UpReg
LRRC4	Astrocytes	UpReg
LRRC45	Astrocytes	UpReg
LRRC4C	Astrocytes	UpReg
MAF	Astrocytes	UpReg
MEF2C	Astrocytes	UpReg
MGST1	Astrocytes	UpReg
MID1IP1	Astrocytes	UpReg
MLLT6	Astrocytes	UpReg
MYEF2	Astrocytes	UpReg
MYH6	Astrocytes	UpReg
NCAM2	Astrocytes	UpReg
NRCAM	Astrocytes	UpReg
OAT	Astrocytes	UpReg
PAM	Astrocytes	UpReg
PBX3	Astrocytes	UpReg
PCDH10	Astrocytes	UpReg
PDE1C	Astrocytes	UpReg
PDE4B	Astrocytes	UpReg
PDIA3	Astrocytes	UpReg
PHKB	Astrocytes	UpReg
PITPNM1	Astrocytes	UpReg
PLEKHA5	Astrocytes	UpReg
PLSCR4	Astrocytes	UpReg
PPP2R2B	Astrocytes	UpReg
PRDX1	Astrocytes	UpReg
PTN	Astrocytes	UpReg
PTPRT	Astrocytes	UpReg
RASA1	Astrocytes	UpReg
RBMS3	Astrocytes	UpReg
RCE1	Astrocytes	UpReg
RGS7	Astrocytes	UpReg
RIMS2	Astrocytes	UpReg
ROBO1	Astrocytes	UpReg
RTRAF	Astrocytes	UpReg
SCD	Astrocytes	UpReg
SELENOS	Astrocytes	UpReg
SERINC3	Astrocytes	UpReg
SH3KBP1	Astrocytes	UpReg
SHISA9	Astrocytes	UpReg
SLC1A4	Astrocytes	UpReg
SLC22A23	Astrocytes	UpReg
SLC35C2	Astrocytes	UpReg
SLC36A1	Astrocytes	UpReg
SLC39A6	Astrocytes	UpReg
SLC8A1	Astrocytes	UpReg
SLCO1C1	Astrocytes	UpReg
SNTB1	Astrocytes	UpReg
SNTG2	Astrocytes	UpReg
SOX9	Astrocytes	UpReg
SRGAP1	Astrocytes	UpReg
SRSF9	Astrocytes	UpReg
SSBP2	Astrocytes	UpReg
SYN3	Astrocytes	UpReg
TENM4	Astrocytes	UpReg
TGOLN2	Astrocytes	UpReg
TMEM176B	Astrocytes	UpReg
TMEM178B	Astrocytes	UpReg
TMEM222	Astrocytes	UpReg
TNFAIP8	Astrocytes	UpReg
UNC13C	Astrocytes	UpReg
UNC79	Astrocytes	UpReg
VCAN	Astrocytes	UpReg
VIM	Astrocytes	UpReg
VOPP1	Astrocytes	UpReg
WDR17	Astrocytes	UpReg
XPNPEP1	Astrocytes	UpReg
ARF5	MSN_Drd1+_2	DownReg
ARPC1A	MSN_Drd1+_2	DownReg
ARPC5L	MSN_Drd1+_2	DownReg
ASPHD2	MSN_Drd1+_2	DownReg
ATP2C1	MSN_Drd1+_2	DownReg
ATP5F1A	MSN_Drd1+_2	DownReg
ATP6V1E1	MSN_Drd1+_2	DownReg
ATXN2L	MSN_Drd1+_2	DownReg
BRD9	MSN_Drd1+_2	DownReg
BRI3	MSN_Drd1+_2	DownReg
CARTPT	MSN_Drd1+_2	DownReg
CELF3	MSN_Drd1+_2	DownReg
CHD6	MSN_Drd1+_2	DownReg
CLK1	MSN_Drd1+_2	DownReg
COX7A2L	MSN_Drd1+_2	DownReg
COX7C	MSN_Drd1+_2	DownReg
CRYM	MSN_Drd1+_2	DownReg
DTX3	MSN_Drd1+_2	DownReg
DYNLL1	MSN_Drd1+_2	DownReg
DZIP1	MSN_Drd1+_2	DownReg
ESD	MSN_Drd1+_2	DownReg
GABARAPL1	MSN_Drd1+_2	DownReg
GPATCH2	MSN_Drd1+_2	DownReg
GPC5	MSN_Drd1+_2	DownReg
GUK1	MSN_Drd1+_2	DownReg
HSPE1	MSN_Drd1+_2	DownReg
LENG8	MSN_Drd1+_2	DownReg
LRRC10B	MSN_Drd1+_2	DownReg
MAP3K3	MSN_Drd1+_2	DownReg
MARCKS	MSN_Drd1+_2	DownReg
MDH2	MSN_Drd1+_2	DownReg
METTL23	MSN_Drd1+_2	DownReg
NDUFA6	MSN_Drd1+_2	DownReg
NDUFA9	MSN_Drd1+_2	DownReg
NDUFS2	MSN_Drd1+_2	DownReg
NOP10	MSN_Drd1+_2	DownReg
NPAS2	MSN_Drd1+_2	DownReg
OAZ1	MSN_Drd1+_2	DownReg
OSBPL10	MSN_Drd1+_2	DownReg
OSBPL3	MSN_Drd1+_2	DownReg
OXR1	MSN_Drd1+_2	DownReg
PAXBP1	MSN_Drd1+_2	DownReg
PER3	MSN_Drd1+_2	DownReg
PISD	MSN_Drd1+_2	DownReg
POLR2E	MSN_Drd1+_2	DownReg
PPP1R1B	MSN_Drd1+_2	DownReg
PRELID3A	MSN_Drd1+_2	DownReg
PSMA5	MSN_Drd1+_2	DownReg
PSMA7	MSN_Drd1+_2	DownReg
PSMB3	MSN_Drd1+_2	DownReg
PSMD9	MSN_Drd1+_2	DownReg
RANGAP1	MSN_Drd1+_2	DownReg
RBM20	MSN_Drd1+_2	DownReg
RPL10A	MSN_Drd1+_2	DownReg
SEMA3E	MSN_Drd1+_2	DownReg
SIRT7	MSN_Drd1+_2	DownReg
SLC25A27	MSN_Drd1+_2	DownReg
SNRPE	MSN_Drd1+_2	DownReg
SRSF2	MSN_Drd1+_2	DownReg
ST8SIA3	MSN_Drd1+_2	DownReg
STX16-NPEPL1	MSN_Drd1+_2	DownReg
STX16	MSN_Drd1+_2	DownReg
SUB1	MSN_Drd1+_2	DownReg
TIMM13	MSN_Drd1+_2	DownReg
TMA7	MSN_Drd1+_2	DownReg
TPI1	MSN_Drd1+_2	DownReg
UBE4B	MSN_Drd1+_2	DownReg
YWHAH	MSN_Drd1+_2	DownReg
AATK	MSN_Drd1+_2	UpReg
ADRA1A	MSN_Drd1+_2	UpReg
ALDOA	MSN_Drd1+_2	UpReg
ATP1B1	MSN_Drd1+_2	UpReg
ATP6V1A	MSN_Drd1+_2	UpReg
BCAP31	MSN_Drd1+_2	UpReg
BRD3	MSN_Drd1+_2	UpReg
CCT3	MSN_Drd1+_2	UpReg
CKB	MSN_Drd1+_2	UpReg
CTNNA3	MSN_Drd1+_2	UpReg
DBP	MSN_Drd1+_2	UpReg
EIF3F	MSN_Drd1+_2	UpReg
ENC1	MSN_Drd1+_2	UpReg
FILIP1L	MSN_Drd1+_2	UpReg
GNB5	MSN_Drd1+_2	UpReg
GPI	MSN_Drd1+_2	UpReg
HSPA5	MSN_Drd1+_2	UpReg
INPP4B	MSN_Drd1+_2	UpReg
KCNA1	MSN_Drd1+_2	UpReg
KIF1A	MSN_Drd1+_2	UpReg
LMO4	MSN_Drd1+_2	UpReg
LRRC4	MSN_Drd1+_2	UpReg
LRTM1	MSN_Drd1+_2	UpReg
NAT8L	MSN_Drd1+_2	UpReg
NEDD4	MSN_Drd1+_2	UpReg
NME7	MSN_Drd1+_2	UpReg
NPDC1	MSN_Drd1+_2	UpReg
PGM2L1	MSN_Drd1+_2	UpReg
PODXL2	MSN_Drd1+_2	UpReg
PRKACB	MSN_Drd1+_2	UpReg
TMEM151A	MSN_Drd1+_2	UpReg
TMEM243	MSN_Drd1+_2	UpReg
TMX2	MSN_Drd1+_2	UpReg
TOP1	MSN_Drd1+_2	UpReg
UCHL3	MSN_Drd1+_2	UpReg
WWP1	MSN_Drd1+_2	UpReg
KIAA0408	Oligodendrocytes	DownReg
C10orf143	Oligodendrocytes	DownReg
AAK1	Oligodendrocytes	DownReg
AASDHPPT	Oligodendrocytes	DownReg
ACO2	Oligodendrocytes	DownReg
ADIPOR2	Oligodendrocytes	DownReg
AFF3	Oligodendrocytes	DownReg
AIMP1	Oligodendrocytes	DownReg
ANKRD13A	Oligodendrocytes	DownReg
AP3M2	Oligodendrocytes	DownReg
APBB3	Oligodendrocytes	DownReg
ARGLU1	Oligodendrocytes	DownReg
ARHGAP33	Oligodendrocytes	DownReg
