gene	cell_type	Direction
Ptma	Oligodendrocytes	UpReg
Ptn	Oligodendrocytes	UpReg
Qdpr	Oligodendrocytes	UpReg
Qpct	Oligodendrocytes	UpReg
Rab14	Oligodendrocytes	UpReg
Rab33a	Oligodendrocytes	UpReg
Rac1	Oligodendrocytes	UpReg
Raph1	Oligodendrocytes	UpReg
Rer1	Oligodendrocytes	UpReg
Rhbdd3	Oligodendrocytes	UpReg
Rhoa	Oligodendrocytes	UpReg
Rhog	Oligodendrocytes	UpReg
Ripk2	Oligodendrocytes	UpReg
Rnf139	Oligodendrocytes	UpReg
Rnf7	Oligodendrocytes	UpReg
Rnh1	Oligodendrocytes	UpReg
Rpl11	Oligodendrocytes	UpReg
Rpl18	Oligodendrocytes	UpReg
Rpl21	Oligodendrocytes	UpReg
Rpl28	Oligodendrocytes	UpReg
Rpl8	Oligodendrocytes	UpReg
Rps2	Oligodendrocytes	UpReg
Rps21	Oligodendrocytes	UpReg
Rps23	Oligodendrocytes	UpReg
Rps24	Oligodendrocytes	UpReg
Rps27a	Oligodendrocytes	UpReg
Rps5	Oligodendrocytes	UpReg
Rps8	Oligodendrocytes	UpReg
Rps9	Oligodendrocytes	UpReg
Rpsa	Oligodendrocytes	UpReg
Scd2	Oligodendrocytes	UpReg
Scoc	Oligodendrocytes	UpReg
Sec62	Oligodendrocytes	UpReg
Selenof	Oligodendrocytes	UpReg
Selenok	Oligodendrocytes	UpReg
Selenos	Oligodendrocytes	UpReg
Serinc1	Oligodendrocytes	UpReg
Sh3glb1	Oligodendrocytes	UpReg
Shisa8	Oligodendrocytes	UpReg
Slc22a17	Oligodendrocytes	UpReg
Slc22a23	Oligodendrocytes	UpReg
Slc25a39	Oligodendrocytes	UpReg
Smim19	Oligodendrocytes	UpReg
Smim26	Oligodendrocytes	UpReg
Smpd4	Oligodendrocytes	UpReg
Snapc1	Oligodendrocytes	UpReg
Sorcs1	Oligodendrocytes	UpReg
Sqle	Oligodendrocytes	UpReg
Srpr	Oligodendrocytes	UpReg
Srsf9	Oligodendrocytes	UpReg
Ssr4	Oligodendrocytes	UpReg
Stambp	Oligodendrocytes	UpReg
Stmn1	Oligodendrocytes	UpReg
Stmn4	Oligodendrocytes	UpReg
Stxbp6	Oligodendrocytes	UpReg
Supt4a	Oligodendrocytes	UpReg
Surf1	Oligodendrocytes	UpReg
Sv2a	Oligodendrocytes	UpReg
Svil	Oligodendrocytes	UpReg
Sypl	Oligodendrocytes	UpReg
Taldo1	Oligodendrocytes	UpReg
Tbpl1	Oligodendrocytes	UpReg
Tecr	Oligodendrocytes	UpReg
Terf2ip	Oligodendrocytes	UpReg
Tfrc	Oligodendrocytes	UpReg
Tgoln1	Oligodendrocytes	UpReg
Thsd7a	Oligodendrocytes	UpReg
Timp2	Oligodendrocytes	UpReg
Tkt	Oligodendrocytes	UpReg
Tln1	Oligodendrocytes	UpReg
Tm9sf3	Oligodendrocytes	UpReg
Tm9sf4	Oligodendrocytes	UpReg
Tmbim6	Oligodendrocytes	UpReg
Tmem101	Oligodendrocytes	UpReg
Tmem106c	Oligodendrocytes	UpReg
Tmem18	Oligodendrocytes	UpReg
Tmem205	Oligodendrocytes	UpReg
Tmem222	Oligodendrocytes	UpReg
Tmem237	Oligodendrocytes	UpReg
Tmem246	Oligodendrocytes	UpReg
Tmem263	Oligodendrocytes	UpReg
Tmem30a	Oligodendrocytes	UpReg
Tmem33	Oligodendrocytes	UpReg
Tmem50b	Oligodendrocytes	UpReg
Tmem94	Oligodendrocytes	UpReg
Tmsb4x	Oligodendrocytes	UpReg
Tmx1	Oligodendrocytes	UpReg
Tnks2	Oligodendrocytes	UpReg
Tprgl	Oligodendrocytes	UpReg
Tpt1	Oligodendrocytes	UpReg
Trappc2	Oligodendrocytes	UpReg
Trf	Oligodendrocytes	UpReg
Trp53bp1	Oligodendrocytes	UpReg
Ttc9	Oligodendrocytes	UpReg
Ttyh1	Oligodendrocytes	UpReg
Tuba1a	Oligodendrocytes	UpReg
Tvp23b	Oligodendrocytes	UpReg
Txndc15	Oligodendrocytes	UpReg
Txndc17	Oligodendrocytes	UpReg
Uba6	Oligodendrocytes	UpReg
Ubb	Oligodendrocytes	UpReg
Ube3a	Oligodendrocytes	UpReg
Unc50	Oligodendrocytes	UpReg
Uqcrc2	Oligodendrocytes	UpReg
Usp19	Oligodendrocytes	UpReg
Vegfb	Oligodendrocytes	UpReg
Vopp1	Oligodendrocytes	UpReg
Xab2	Oligodendrocytes	UpReg
Xrcc6	Oligodendrocytes	UpReg
Yif1b	Oligodendrocytes	UpReg
Zcchc17	Oligodendrocytes	UpReg
Zdhhc16	Oligodendrocytes	UpReg
Zfp654	Oligodendrocytes	UpReg
Arhgdia	MSN_Grm8+_1	UpReg
Bsg	MSN_Grm8+_1	UpReg
C1galt1c1	MSN_Grm8+_1	UpReg
Cadm4	MSN_Grm8+_1	UpReg
Caln1	MSN_Grm8+_1	UpReg
Caly	MSN_Grm8+_1	UpReg
Camkv	MSN_Grm8+_1	UpReg
Celf2	MSN_Grm8+_1	UpReg
Epha4	MSN_Grm8+_1	UpReg
Ftl1	MSN_Grm8+_1	UpReg
G3bp2	MSN_Grm8+_1	UpReg
Gria1	MSN_Grm8+_1	UpReg
Josd1	MSN_Grm8+_1	UpReg
