Gene	Cluster
Galc	Cluster_0
Calm1	Cluster_0
Vrk1	Cluster_0
Mok	Cluster_0
Rcor1	Cluster_0
Inf2	Cluster_0
Chrm3	Cluster_0
Actn2	Cluster_0
Inhba	Cluster_0
Gfod1	Cluster_0
Rbm24	Cluster_0
Zfp369	Cluster_0
Cetn3	Cluster_0
Ccnh	Cluster_0
Cox7c	Cluster_0
Atg10	Cluster_0
Msh3	Cluster_0
Iqgap2	Cluster_0
Plk2	Cluster_0
Timm23	Cluster_0
Ercc6	Cluster_0
Fbxo34	Cluster_0
Peli2	Cluster_0
Slc7a8	Cluster_0
Mphosph8	Cluster_0
Zmym5	Cluster_0
Spata13	Cluster_0
Fzd3	Cluster_0
Dmtn	Cluster_0
Itgbl1	Cluster_0
Ankrd33b	Cluster_0
Lrp12	Cluster_0
Zfat	Cluster_0
Cacng2	Cluster_0
Cacna1i	Cluster_0
Shank3	Cluster_0
Syt10	Cluster_0
Cpne8	Cluster_0
Arf3	Cluster_0
Mpv17l	Cluster_0
Smpd4	Cluster_0
2510009E07Rik	Cluster_0
Mb21d2	Cluster_0
Cxadr	Cluster_0
Setd4	Cluster_0
B3galt5	Cluster_0
Fbxl16	Cluster_0
Rgs11	Cluster_0
Grm4	Cluster_0
Srpk1	Cluster_0
H2-T24	Cluster_0
St6gal2	Cluster_0
Jcad	Cluster_0
Svil	Cluster_0
Mpp7	Cluster_0
Sh3rf2	Cluster_0
Stk32a	Cluster_0
Fbxo38	Cluster_0
St8sia3	Cluster_0
Rasgrp2	Cluster_0
Klf9	Cluster_0
Slc1a1	Cluster_0
Cnnm1	Cluster_0
Dnmbp	Cluster_0
Erlin1	Cluster_0
Klhl13	Cluster_0
Upf3b	Cluster_0
Rbmx	Cluster_0
Atp2b3	Cluster_0
Zmym3	Cluster_0
Slc16a2	Cluster_0
Brwd3	Cluster_0
Lrch2	Cluster_0
Ptchd1	Cluster_0
Gm15155	Cluster_0
Sms	Cluster_0
Oprk1	Cluster_1
Jph1	Cluster_1
Gdap1	Cluster_1
Tsga10	Cluster_1
Rnf149	Cluster_1
Myo1b	Cluster_1
Ica1l	Cluster_1
Ccnyl1	Cluster_1
Smarcal1	Cluster_1
Speg	Cluster_1
Slc4a3	Cluster_1
Ramp1	Cluster_1
Ppp1r7	Cluster_1
Dsel	Cluster_1
Lrrn2	Cluster_1
Edem3	Cluster_1
Lamc1	Cluster_1
Ankrd45	Cluster_1
Nme7	Cluster_1
Fam78b	Cluster_1
Cadm3	Cluster_1
Adss	Cluster_1
Kif26b	Cluster_1
Cnst	Cluster_1
Angel2	Cluster_1
Cd46	Cluster_1
Camsap1	Cluster_1
Med27	Cluster_1
Zer1	Cluster_1
Ptpa	Cluster_1
Ncs1	Cluster_1
Fubp3	Cluster_1
Slc25a25	Cluster_1
Acvr1c	Cluster_1
Acvr1	Cluster_1
Dcaf17	Cluster_1
Gpr155	Cluster_1
Dnajc10	Cluster_1
Zc3h15	Cluster_1
Itgav	Cluster_1
C1qtnf4	Cluster_1
Madd	Cluster_1
Dgkz	Cluster_1
Cry2	Cluster_1
Chst1	Cluster_1
Ext2	Cluster_1
Hipk3	Cluster_1
Katnbl1	Cluster_1
Aqr	Cluster_1
Itpka	Cluster_1
Tyro3	Cluster_1
Tmem87a	Cluster_1
Secisbp2l	Cluster_1
Gabpb1	Cluster_1
Sirpa	Cluster_1
Lzts3	Cluster_1
Slx4ip	Cluster_1
Esf1	Cluster_1
Zfp831	Cluster_1
Cyp7b1	Cluster_1
Nceh1	Cluster_1
Gnb4	Cluster_1
P2ry12	Cluster_1
Serpini1	Cluster_1
Trim46	Cluster_1
Tpm3	Cluster_1
Setdb1	Cluster_1
Atp1a1	Cluster_1
Phtf1	Cluster_1
Pifo	Cluster_1
Vav3	Cluster_1
Lmo4	Cluster_1
Dnajb4	Cluster_1
Nexn	Cluster_1
Calb1	Cluster_1
Gpr63	Cluster_1
Cnr1	Cluster_1
Ubap2	Cluster_1
Tdrd7	Cluster_1
Tmod1	Cluster_1
Zkscan16	Cluster_1
Ror1	Cluster_1
Jak1	Cluster_1
