SalVsCoc_CPP	SalVsCoc_NPAS4	SalVsSal	CocVsCoc
Pcdh9	0.0451684770509031	0.301474369968325	0.273626293415454	0.0173204004980319
Pcp4	-0.287648800329524	-0.321447923807063	-0.171516873347329	-0.13771774986979
Pcsk1n	-0.155885290961398	-0.224016796757555	-0.656495352376867	-0.588363846580711
Pde1a	0.0525050849351487	-0.119559208357615	-0.322769485710501	-0.150705192417737
Pde1c	0.0114960684089724	0.235339844367936	0.189259250445846	-0.0345845255131181
Pde7b	-0.0801855315146689	0.0872921102602686	0.214385118372447	0.0469074765975099
Pdia3	-0.00197476611933152	-0.386676045255543	-0.512840874176261	-0.128139595040049
Pdia6	0.0256448754123835	-0.126523691896874	-0.284328614171486	-0.132160046862228
Peg3	0.0499887474127056	0.0997459958151099	-0.171400935647593	-0.221158184049997
Penk	-0.247220240483604	-0.261265491131896	-0.277427459211421	-0.263382208563129
Pfdn5	-0.0401091178357178	-0.106159443913317	-0.217660220148911	-0.151609894071312
Pgam1	-0.0822844450605574	-0.242655936539397	-0.394730820912404	-0.234359329433565
Pgk1	0.0248879872363199	-0.124623843365339	-0.202083707750133	-0.0525718771484741
Pgrmc1	-0.0361881297545511	-0.188004858330771	-0.381206581983437	-0.229389853407217
Pigk	0.244192081169162	0.375547333770442	-0.0435012980193501	-0.17485655062063
Pisd	0.00196260657010661	-0.144257015667087	0.17636256390398	0.322582186141173
Pkm	-0.0879733002186243	-0.372814469544898	-0.302259543637342	-0.017418374311069
Pnmal2	0.0509377909401908	-0.359270518062269	-0.363060622034981	0.0471476869674792
Ppia	-0.084957279125731	-0.483522366318443	-0.651488495170388	-0.252923407977676
Ppp1r1b	-0.164423221927066	-0.210508080948324	0.0766992766968935	0.122784135718152
Prdx6	0.20983876547324	-0.104285617850195	-0.22160500069183	0.0925193826316051
Prex2	0.117198196614667	-0.0671727710280305	-0.223863305214587	-0.0394923375718892
Prkd1	-0.105797560282423	-0.0102082415056899	0.261358220578241	0.165768901801509
Prnp	0.00438946125165693	-0.185744031724882	-0.2389769965155	-0.0488435035389617
Prr16	0.249321050764034	0.0465782847350371	-0.221659522671288	-0.0189167566422912
Psap	-0.0731116116177799	-0.415608214895731	-0.528365347852139	-0.185868744574189
Psma7	-0.0562971061698442	-0.221700641455148	0.0597139179611271	0.225117453246431
Psmc5	-0.0409100650762538	-0.0838554047524074	-0.227746296256481	-0.184800956580328
Ptchd4	0.0644331887859364	0.0194675205831447	0.175342615944815	0.220308284147606
Ptma	-0.00168235252360227	-0.230003251527838	-0.193004535389477	0.0353163636147591
Ptn	0.314018997651866	-0.165911285122382	-0.513621137029263	-0.0336908542550153
